Team, URL
Tottenham, https://upload.wikimedia.org/wikipedia/en/b/b4/Tottenham_Hotspur.svg
Arsenal, https://upload.wikimedia.org/wikipedia/en/5/53/Arsenal_FC.svg
Aston Villa,https://upload.wikimedia.org/wikipedia/en/f/f9/Aston_Villa_FC_crest_%282016%29.svg
Brighton, https://upload.wikimedia.org/wikipedia/en/f/fd/Brighton_%26_Hove_Albion_logo.svg
Burnley, https://upload.wikimedia.org/wikipedia/en/6/62/Burnley_F.C._Logo.svg
Chelsea, https://upload.wikimedia.org/wikipedia/en/c/cc/Chelsea_FC.svg
Crystal Palace, https://upload.wikimedia.org/wikipedia/en/0/0c/Crystal_Palace_FC_logo.svg
Everton, https://upload.wikimedia.org/wikipedia/en/7/7c/Everton_FC_logo.svg
Fulham, https://upload.wikimedia.org/wikipedia/en/e/eb/Fulham_FC_%28shield%29.svg
Leeds, https://upload.wikimedia.org/wikipedia/en/5/54/Leeds_United_F.C._logo.svg
Leicester, https://upload.wikimedia.org/wikipedia/en/2/2d/Leicester_City_crest.svg
Liverpool, https://upload.wikimedia.org/wikipedia/en/0/0c/Liverpool_FC.svg
Man City, https://upload.wikimedia.org/wikipedia/en/e/eb/Manchester_City_FC_badge.svg
Man United, https://upload.wikimedia.org/wikipedia/en/7/7a/Manchester_United_FC_crest.svg
Newcastle, https://upload.wikimedia.org/wikipedia/en/5/56/Newcastle_United_Logo.svg
Sheffield United, https://upload.wikimedia.org/wikipedia/en/9/9c/Sheffield_United_FC_logo.svg
Southampton, https://upload.wikimedia.org/wikipedia/en/c/c9/FC_Southampton.svg
West Brom, https://upload.wikimedia.org/wikipedia/en/8/8b/West_Bromwich_Albion.svg
Wolves, https://upload.wikimedia.org/wikipedia/en/f/fc/Wolverhampton_Wanderers.svg
West Ham, https://upload.wikimedia.org/wikipedia/en/c/c2/West_Ham_United_FC_logo.svg
Bournemouth, https://upload.wikimedia.org/wikipedia/en/e/e5/AFC_Bournemouth_%282013%29.svg
Norwich, https://upload.wikimedia.org/wikipedia/en/8/8c/Norwich_City.svg
Watford, https://upload.wikimedia.org/wikipedia/en/e/e2/Watford.svg
Barnsley, https://upload.wikimedia.org/wikipedia/en/c/c9/Barnsley_FC.svg
Birmingham, https://upload.wikimedia.org/wikipedia/en/6/68/Birmingham_City_FC_logo.svg
Blackburn, https://upload.wikimedia.org/wikipedia/en/0/0f/Blackburn_Rovers.svg
Brenford, https://upload.wikimedia.org/wikipedia/en/2/2a/Brentford_FC_crest.svg
Cardiff, https://upload.wikimedia.org/wikipedia/en/3/3c/Cardiff_City_crest.svg
Bristol City, https://upload.wikimedia.org/wikipedia/en/f/f5/Bristol_City_crest.svg
Derby, https://upload.wikimedia.org/wikipedia/en/4/4a/Derby_County_crest.svg
Middlesbrough, https://upload.wikimedia.org/wikipedia/en/2/2c/Middlesbrough_FC_crest.svg
Millwall, https://upload.wikimedia.org/wikipedia/commons/9/94/Milwall_Crest.svg
Nott'm Forest, https://upload.wikimedia.org/wikipedia/en/e/e5/Nottingham_Forest_F.C._logo.svg
Preston, https://upload.wikimedia.org/wikipedia/en/8/82/Preston_North_End_FC.svg
QPR, https://upload.wikimedia.org/wikipedia/en/3/31/Queens_Park_Rangers_crest.svg
Reading, https://upload.wikimedia.org/wikipedia/en/1/11/Reading_FC.svg
Rotherham, https://upload.wikimedia.org/wikipedia/en/c/c0/Rotherham_United_FC.svg
Sheffield Weds, https://upload.wikimedia.org/wikipedia/en/8/88/Sheffield_Wednesday_badge.svg
Stoke, https://upload.wikimedia.org/wikipedia/en/2/29/Stoke_City_FC.svg
Swansea, https://upload.wikimedia.org/wikipedia/en/f/f9/Swansea_City_AFC_logo.svg
Wycombe, https://upload.wikimedia.org/wikipedia/en/f/fb/Wycombe_Wanderers_FC_logo.svg
